Stock,Loss,TrainingTime,Lookback,LearningRate,HiddenSize,Epochs
AMZN,0.00158,8:28,3,0.001,2250,5
ABC,0.00088,12:30,3,0.001,2250,5
AMZN,0.00168,1:02,3,0.001,2250,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

AMZN,1.72840,0:51,3,1024,1024,4
NVDA,9890102.40208,0:46,3,1024,1024,4
EBAY,1.16068,0:48,3,1024,1024,4
Average loss = 3296701.7637239047
NVDA,0.50920,0:11,3,0.0001,1024,1
AMZN,0.14514,0:13,3,0.0001,1024,1
EBAY,0.10104,0:12,3,0.0001,1024,1
Average loss = 0.2517957805345456
NVDA,0.01714,0:11,3,0.001,1024,1
AMZN,0.00163,0:12,3,0.001,1024,1
EBAY,0.00140,0:11,3,0.001,1024,1
Average loss = 0.0067241849106115595
NVDA,0.28374,0:5,3,0.0001,512,3
AMZN,0.01446,0:6,3,0.0001,512,3
EBAY,0.02464,0:5,3,0.0001,512,3
Average loss = 0.10761623089201748
NVDA,0.01783,0:6,3,0.001,512,3
AMZN,0.00204,0:6,3,0.001,512,3
EBAY,0.00133,0:5,3,0.001,512,3
Average loss = 0.007065011066151784
NVDA,0.08567,0:32,3,0.0001,1024,3
AMZN,0.00468,0:55,3,0.0001,1024,3
EBAY,0.00714,0:35,3,0.0001,1024,3
Average loss = 0.0324970784461281
NVDA,0.00814,0:31,3,0.001,1024,3
AMZN,0.00160,0:35,3,0.001,1024,3
EBAY,0.00127,0:32,3,0.001,1024,3
Average loss = 0.0036705929844174537
NVDA,0.03115,2:22,3,0.0001,2048,3
AMZN,0.00217,2:29,3,0.0001,2048,3
EBAY,0.00304,2:17,3,0.0001,2048,3
Average loss = 0.012116913466403883
NVDA,0.00422,2:18,3,0.001,2048,3
AMZN,0.00156,2:46,3,0.001,2048,3
EBAY,0.00134,2:29,3,0.001,2048,3
Average loss = 0.0023771772015606985
NVDA,0.01389,11:7,3,0.0001,4056,3
AMZN,0.00156,10:37,3,0.0001,4056,3
EBAY,0.00134,10:1,3,0.0001,4056,3
Average loss = 0.005598648507536078
